"name","class","spec","realm","region","guild","faction","zone","encounter","duration","percentile","dps","ilvl","encounter_id","character_id","date","zone_id","report_id","report_fight_id","guild_id"
Timblock,Warlock,Demonology,faerlina,us,Gratz,horde,Trial of the Crusader,Twin Val'kyr,159.087,70.88906,13754.958,247,641,74639479,2023-09-28 14:27:38.197,1018,c4R9PtbXgx1FY2AL,6,632029
Timblock,Warlock,Affliction,faerlina,us,Gratz,horde,Trial of the Crusader,Anub'arak,265.109,49.900375,8845.641,246,645,74639479,2023-09-12 22:51:03.791,1018,VbHTah1x6QvN3dRB,21,632029
Timblock,Warlock,Demonology,faerlina,us,Gratz,horde,Trial of the Crusader,Anub'arak,278.382,49.274338,8284.073,246,645,74639479,2023-08-16 21:57:12.409,1018,aXkYhTmPvRC3pHVJ,8,632029
Yetzmm,Mage,Fire,faerlina,us,Gratz,horde,Trial of the Crusader,The Northrend Beasts,292.642,97.46559,11589.864,254,629,73909614,2023-09-01 20:01:49.945,1018,wxJkWpBvYmMb7GgP,2,632029
Yetzmm,Mage,Fire,faerlina,us,Gratz,horde,Trial of the Crusader,Lord Jaraxxus,153.241,94.83093,16217.996,251,633,73909614,2023-07-21 17:09:21.389,1018,X9c6kNfqwY2KvPAm,3,632029
Yetzmm,Mage,Fire,faerlina,us,Gratz,horde,Trial of the Crusader,Twin Val'kyr,141.662,95.64746,17539.129,255,641,73909614,2023-10-01 01:19:22.764,1018,NaWKpvbT4n2txcBk,7,632029
Yetzmm,Mage,Fire,faerlina,us,Gratz,horde,Trial of the Crusader,Anub'arak,285.895,90.98625,10369.041,252,645,73909614,2023-07-28 17:35:01.952,1018,"1pHckQnJa8YybF6f",7,632029
Yetzmm,Mage,Arcane,faerlina,us,Gratz,horde,Trial of the Crusader,Anub'arak,319.82,59.52574,7177.8345,244,645,73909614,2023-07-01 00:22:46.065,1018,xNF3HcaJRm9fbjwG,9,632029
Zitts,Rogue,Combat,faerlina,us,Gratz,horde,Trial of the Crusader,The Northrend Beasts,314.501,81.265205,9618.25,246,629,74570975,2023-07-30 18:00:47.531,1018,"4VqHjNf8MWP3g9mB",2,632029
Zitts,Rogue,Combat,faerlina,us,Gratz,horde,Trial of the Crusader,Lord Jaraxxus,158.882,94.249596,12340.341,248,633,74570975,2023-10-07 14:15:18.293,1018,KL1aTXjvGQAdmF3C,3,632029
Zitts,Rogue,Combat,faerlina,us,Gratz,horde,Trial of the Crusader,Twin Val'kyr,159.769,80.00175,17349.104,248,641,74570975,2023-10-07 14:31:40.735,1018,wMcLj1zxVgQ389qp,6,632029
Lubão,Druid,Balance,faerlina,us,Confia,horde,Trial of the Crusader,The Northrend Beasts,329.677,18.61176,6097.635,236,629,76940602,2023-10-02 23:41:09.605,1018,cZp4aCrXkv7MJzm9,2,671729
Zitts,Rogue,Combat,faerlina,us,Gratz,horde,Trial of the Crusader,Anub'arak,300.363,75.46951,8881.673,247,645,74570975,2023-08-17 14:38:57.524,1018,RdVQJhZDGwjWHKMc,9,632029
Ztêy,Paladin,Retribution,faerlina,us,Gratz,horde,Trial of the Crusader,The Northrend Beasts,280.412,63.744373,8173.6514,244,629,63000171,2023-08-06 00:58:06.493,1018,ywGTjRbBA3m2zMgr,2,632029
Ztêy,Paladin,Retribution,faerlina,us,Gratz,horde,Trial of the Crusader,Lord Jaraxxus,137.638,67.533806,10229.515,244,633,63000171,2023-08-13 01:14:02.898,1018,a7fx2J3bCnXHy1cD,31,632029
Ztêy,Paladin,Retribution,faerlina,us,Gratz,horde,Trial of the Crusader,Twin Val'kyr,143.543,62.86797,14523.976,244,641,63000171,2023-07-30 01:25:06.301,1018,nKqth7PYG2vVHRD6,32,632029
Ztêy,Paladin,Retribution,faerlina,us,Gratz,horde,Trial of the Crusader,Anub'arak,260.689,34.12918,8034.382,244,645,63000171,2023-07-30 01:34:00.994,1018,Twp1WjyfZBD6Y4qa,10,632029
Abbadão,DeathKnight,Frost,faerlina,us,Gratz,horde,Trial of the Crusader,The Northrend Beasts,286.39,81.7336,8960.365,243,629,74888035,2023-09-05 21:13:38.621,1018,y9a2ABgjRCTD8rpt,2,632029
Abbadão,DeathKnight,Frost,faerlina,us,Gratz,horde,Trial of the Crusader,Lord Jaraxxus,162.612,86.501816,11013.898,243,633,74888035,2023-08-09 21:29:55.996,1018,vM3LwFN4WXcJ9nQz,3,632029
Abbadão,DeathKnight,Frost,faerlina,us,Gratz,horde,Trial of the Crusader,Twin Val'kyr,155.934,72.37576,14061.616,243,641,74888035,2023-09-05 21:30:32.457,1018,tG8KxjyTXJWnzZ7m,6,632029
Hordagado,Druid,Balance,faerlina,us,Gratz,horde,Trial of the Crusader,The Northrend Beasts,318.886,39.886852,7258.051,243,629,61566397,2023-08-30 01:30:08.514,1018,f74H3p9YxNJwKdVb,2,632029
Kallzera,Druid,Balance,faerlina,us,Gratz,horde,Trial of the Crusader,Lord Jaraxxus,133.693,73.972244,10487.012,246,633,69249005,2023-09-19 21:18:49.759,1018,mWtrwbPdG4HBxzAT,3,632029
Kallzera,Druid,Balance,faerlina,us,Gratz,horde,Trial of the Crusader,Twin Val'kyr,132.145,75.16533,14586.371,244,641,69249005,2023-08-26 01:30:43.996,1018,L98kyWGcT6Hx7QRq,7,632029
