"id","guild","title","date","realm","region","faction"
R8mqdx7FXQpYfKtC,crimes,<crimes> 10M Ticket 21/08,2023-08-21 16:02:31.178,faerlina,us,horde
"1CnYfqJMRX7Gvz8p",crimes,<crimes> 10M Ticket 17/08,2023-08-17 21:59:00.405,faerlina,us,horde
trh91bgamqRTd7pK,crimes,<crimes> 10M Ticket 14/08,2023-08-14 16:33:36.022,faerlina,us,horde
frwAckPpDRHv8aTh,Return of the Empire,TOC 25 + ULD SKIP - CORE 1,2023-08-22 21:12:51.783,faerlina,us,horde
Df1AaQtpFHNjTxLz,Return of the Empire,core 1,2023-08-22 19:31:59.292,faerlina,us,horde
zDnNGwr2vfC6V1Ad,Return of the Empire,CORE 2 - TOC 25,2023-08-17 21:37:49.483,faerlina,us,horde
fr1mGBcDV4kdjn9L,Return of the Empire,CORE 2,2023-08-17 20:15:08.585,faerlina,us,horde
djTmkawzYF6c8LPQ,Return of the Empire,CORE 2,2023-08-17 20:15:01.209,faerlina,us,horde
Bf8FTCKanG79y6jx,Return of the Empire,Ulduar,2023-08-16 22:06:41.863,faerlina,us,horde
"7bVQ6pHyRaBkXY3W",Return of the Empire,ULduar .....................,2023-08-15 20:54:13.067,faerlina,us,horde
Vng9Z4m7avkWPHpF,Return of the Empire,core 1,2023-08-15 19:49:19.807,faerlina,us,horde
FNmDfvbcKLrMytWa,Return of the Empire,Uld 10 man,2023-08-14 21:51:58.071,faerlina,us,horde
LtbVvzaBGqZXNC7m,Return of the Empire,Trial of the Crusader,2023-08-13 22:13:49.357,faerlina,us,horde
YxANa9zDJTvtmfyX,Return of the Empire,Trial of the Crusader,2023-08-11 23:04:02.443,faerlina,us,horde
cmgxP6VaM47Ct8LJ,Return of the Empire,Ulduar 25 Core 2,2023-08-10 21:14:35.776,faerlina,us,horde
ZDzRPFwG1JmbQBav,Return of the Empire,ToC 25 Core 2,2023-08-10 20:05:16.140,faerlina,us,horde
h3PqXfp4TxrGakFj,Return of the Empire,ToC 25,2023-08-10 19:59:18.866,faerlina,us,horde
dPmnNGf4ZcCj9Q6D,Return of the Empire,TOC 10 - CORE 4,2023-08-09 23:17:54.648,faerlina,us,horde
"67KAfPwdkJygVQFW",Return of the Empire,TOC 10 CORE 3,2023-08-09 22:36:50.762,faerlina,us,horde
LDYQpRvdg1Xj4TxW,Wipe Insano,Trial of the Crusader,2023-08-22 20:30:33.894,benediction,us,alliance
zM7mC319VkvQ6xnW,Wipe Insano,ToGC 10 W.I.,2023-08-22 23:00:31.037,benediction,us,alliance
JcLwHAr4VvPhKgWC,Wipe Insano,ToGC 10 W.I.,2023-08-15 22:47:27.341,benediction,us,alliance
BG7XJxbDCaYkN1tR,Wipe Insano,ToGC 25 W.I.,2023-08-15 20:39:32.858,benediction,us,alliance
